,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Category,Age_Category
0,458989,0,1,36,1,Engineer,0.0,Low,1.0,Cat_6,31-40
1,458994,1,1,37,1,Healthcare,8.0,Average,4.0,Cat_6,31-40
2,458996,0,1,69,0,Other,0.0,Low,1.0,Cat_6,61-70
3,459000,1,1,59,0,Executive,11.0,High,2.0,Cat_6,51-60
4,459001,0,0,19,0,Marketing,1.0,Low,4.0,Cat_6,18-30
5,459003,1,1,47,1,Doctor,0.0,High,5.0,Cat_4,41-50
6,459005,1,1,61,1,Doctor,5.0,Low,3.0,Cat_6,61-70
7,459008,0,1,47,1,Artist,1.0,Average,3.0,Cat_6,41-50
8,459013,1,1,50,1,Artist,2.0,Average,4.0,Cat_6,41-50
9,459014,1,0,19,0,Healthcare,0.0,Low,4.0,Cat_6,18-30
10,459015,1,0,22,0,Healthcare,0.0,Low,3.0,Cat_6,18-30
11,459016,0,0,22,0,Healthcare,0.0,Low,6.0,Cat_6,18-30
12,459024,1,1,50,1,Artist,1.0,Average,5.0,Cat_6,41-50
13,459026,1,0,27,0,Healthcare,8.0,Low,3.0,Cat_3,18-30
14,459032,1,0,18,0,Doctor,0.0,Low,3.0,Cat_6,18-30
15,459033,0,1,61,1,Artist,0.0,Low,1.0,Cat_6,61-70
16,459036,0,1,20,1,Lawyer,1.0,Average,3.0,Cat_3,18-30
17,459039,1,1,45,1,Artist,1.0,Average,2.0,Cat_6,41-50
18,459041,1,1,55,1,Artist,8.0,Low,1.0,Cat_6,51-60
19,459045,0,1,88,1,Lawyer,1.0,Average,4.0,Cat_6,81-90
20,459056,1,1,63,0,Executive,1.0,High,3.0,Cat_6,61-70
21,459057,1,1,69,0,Lawyer,1.0,High,2.0,Cat_6,61-70
22,459058,1,0,42,1,Artist,0.0,Low,4.0,Cat_3,41-50
23,459059,1,1,79,0,Executive,1.0,High,2.0,Cat_6,71-80
24,459061,0,1,35,1,Healthcare,9.0,High,3.0,Cat_6,31-40
25,459064,1,1,27,0,Executive,5.0,High,4.0,Cat_6,18-30
26,459065,1,1,52,1,Engineer,1.0,Low,2.0,Cat_6,51-60
27,459074,0,0,29,1,Healthcare,0.0,Low,4.0,Cat_4,18-30
