,Step,Amount,Nameorig,OldbalanceOrg,NewbalanceOrig,NameDest,OldbalanceDest,NewbalanceDest,IsFlaggedFraud,Type_CASH_IN,Type_CASH_OUT,Type_DEBIT,Type_PAYMENT,Type_TRANSFER,IsFraud
0,158,171456.83,6258221,171456.83,0.0,445915,0.0,0.0,0,False,False,False,False,True,1
1,166,527362.9,3107658,1188500.18,1715863.08,431293,3813116.71,3285753.81,0,True,False,False,False,False,0
2,479,6507.45,4743107,80381.0,73873.55,1254352,0.0,0.0,0,False,False,False,True,False,0
3,231,120626.31,4248955,0.0,0.0,491369,2445029.65,2565655.96,0,False,True,False,False,False,0
4,19,78163.04,4490115,100518.0,178681.04,456993,523.0,0.0,0,True,False,False,False,False,0
5,229,137837.11,2372970,434878.0,572715.11,192690,863676.88,725839.76,0,True,False,False,False,False,0
6,225,141825.05,4290858,0.0,0.0,228304,434470.03,576295.08,0,False,True,False,False,False,0
7,252,200877.34,6205474,37527.0,238404.34,117336,1618219.6,1417342.26,0,True,False,False,False,False,0
8,497,1177100.83,5006939,1177100.83,0.0,307322,0.0,1177100.83,0,False,True,False,False,False,1
9,5,914.59,5633958,311960.0,311045.41,1077996,0.0,0.0,0,False,False,False,True,False,0
10,44,41772.65,6103498,307786.77,266014.13,2704070,0.0,0.0,0,False,False,False,True,False,0
11,242,428174.7,6327488,428174.7,0.0,224631,63746.81,491921.52,0,False,True,False,False,False,1
12,33,46656.54,6204159,0.0,0.0,260341,1166290.68,1212947.21,0,False,True,False,False,False,0
13,370,10521.09,5371750,0.0,0.0,2244537,0.0,0.0,0,False,False,False,True,False,0
14,183,4354175.33,973336,4354175.33,0.0,518090,0.0,0.0,0,False,False,False,False,True,1
15,6,85354.69,1930802,85354.69,0.0,389451,11170.0,10612.55,0,False,True,False,False,False,1
16,370,24086.53,558030,99727.0,75640.47,1226755,0.0,0.0,0,False,False,False,True,False,0
17,16,342406.53,1313893,0.0,0.0,299644,402392.74,1932430.45,0,False,True,False,False,False,0
18,239,15939.15,1870737,0.0,0.0,1521213,0.0,0.0,0,False,False,False,True,False,0
19,154,35433.99,4539629,669360.33,633926.35,464987,203831.42,239265.41,0,False,True,False,False,False,0
20,632,480404.03,3163477,480404.03,0.0,252489,0.0,0.0,0,False,False,False,False,True,1
21,259,149063.57,536601,104366.0,0.0,413935,249883.89,398947.46,0,False,True,False,False,False,0
22,249,25031.19,3079141,3374191.04,3399222.24,214506,2609605.72,2584574.53,0,True,False,False,False,False,0
23,130,1494432.21,3523561,1494432.21,0.0,194496,0.0,0.0,0,False,False,False,False,True,1
24,324,10754.14,3698115,0.0,0.0,2369767,0.0,0.0,0,False,False,False,True,False,0
25,17,50526.82,3937363,192.0,0.0,267407,639376.97,689903.79,0,False,True,False,False,False,0
26,669,111033.79,5939024,111033.79,0.0,160109,0.0,0.0,0,False,False,False,False,True,1
27,692,2109967.47,6117123,2109967.47,0.0,21429,0.0,0.0,0,False,False,False,False,True,1
28,354,78891.97,5541618,0.0,0.0,76134,2631809.16,2710701.14,0,False,True,False,False,False,0
29,231,12855.84,4880283,541278.62,528422.78,1806064,0.0,0.0,0,False,False,False,True,False,0
30,409,71921.7,2613555,71921.7,0.0,184905,42131.23,114052.93,0,False,True,False,False,False,1
31,185,35180.88,1899256,29014.17,0.0,2061485,0.0,0.0,0,False,False,False,True,False,0
32,738,108240.74,1372101,108240.74,0.0,324905,0.0,0.0,0,False,False,False,False,True,1
33,4,13707.11,2372399,13707.11,0.0,397563,0.0,0.0,0,False,False,False,False,True,1
34,179,177103.56,86626,20987.0,198090.56,449733,4034051.06,3856947.5,0,True,False,False,False,False,0
35,36,316206.3,4758867,140.0,0.0,172829,320509.65,636715.95,0,False,True,False,False,False,0
36,690,66643.99,1650676,66643.99,0.0,398902,0.0,0.0,0,False,False,False,False,True,1
37,416,27276.07,5521250,27276.07,0.0,190861,0.0,0.0,0,False,False,False,False,True,1
38,211,20720.51,3773179,0.0,0.0,1058528,0.0,0.0,0,False,False,False,True,False,0
39,206,314630.75,5353807,0.0,0.0,467284,2667429.3,2982060.05,0,False,True,False,False,False,0
40,139,2388.57,3718294,259.0,0.0,2169109,0.0,0.0,0,False,False,False,True,False,0
41,348,143674.14,5828871,160.0,143834.14,265391,169042.3,25368.16,0,True,False,False,False,False,0
42,281,202.16,3229138,0.0,0.0,2495588,0.0,0.0,0,False,False,False,True,False,0
43,33,364506.56,3634792,0.0,0.0,263344,578079.76,942586.31,0,False,True,False,False,False,0
44,252,90492.0,3303537,0.0,0.0,21645,758639.62,849131.62,0,False,True,False,False,False,0
45,487,882637.83,309701,882637.83,0.0,60215,6493.14,889130.97,0,False,True,False,False,False,1
46,396,127907.38,3854294,0.0,0.0,488413,1185927.11,1313834.49,0,False,True,False,False,False,0
47,9,443820.33,5587721,0.0,0.0,391275,1544078.83,2088145.36,0,False,False,False,False,True,0
48,15,442857.21,1151337,67170.0,0.0,350834,0.0,442857.21,0,False,True,False,False,False,0
49,16,379412.88,5925350,9141603.97,9521016.85,227121,1366209.36,986796.48,0,True,False,False,False,False,0
50,48,5701.66,259451,17377.0,11675.34,1494276,0.0,0.0,0,False,False,False,True,False,0
51,712,6514.47,2333687,6514.47,0.0,554582,893602.62,900117.09,0,False,True,False,False,False,1
52,282,1564952.45,5135101,1564952.45,0.0,134904,0.0,0.0,0,False,False,False,False,True,1
53,276,81.77,5873485,79396.0,79314.23,1853319,0.0,0.0,0,False,False,False,True,False,0
54,371,361743.45,5899103,20309.0,382052.45,397294,637480.82,275737.37,0,True,False,False,False,False,0
55,140,197986.03,1065479,6917.0,0.0,450218,3480614.07,3678600.1,0,False,True,False,False,False,0
56,131,99889.23,2741314,4722401.04,4822290.28,453408,182217.19,82327.96,0,True,False,False,False,False,0
57,188,2881.1,3790054,0.0,0.0,1701430,0.0,0.0,0,False,False,False,True,False,0
58,299,22154.7,2700662,250388.93,228234.23,2695645,0.0,0.0,0,False,False,False,True,False,0
59,67,42513.08,3315677,42513.08,0.0,136322,0.0,0.0,0,False,False,False,False,True,1
60,256,41659.72,2180405,0.0,0.0,488090,461272.82,502932.54,0,False,False,False,False,True,0
61,221,167060.63,149896,167060.63,0.0,153853,890774.84,1057835.47,0,False,True,False,False,False,1
62,231,17654.35,1504079,0.0,0.0,1191137,0.0,0.0,0,False,False,False,True,False,0
63,494,103909.1,4668911,103909.1,0.0,531567,0.0,103909.1,0,False,True,False,False,False,1
64,10,7063.11,3904222,154602.16,147539.05,2477141,0.0,0.0,0,False,False,False,True,False,0
65,178,85017.99,720012,85017.99,0.0,184200,0.0,85017.99,0,False,True,False,False,False,1
66,309,2019508.99,5997423,2019508.99,0.0,531584,0.0,0.0,0,False,False,False,False,True,1
67,44,44571.94,2692599,44571.94,0.0,352638,0.0,0.0,0,False,False,False,False,True,1
68,684,537025.01,3275814,537025.01,0.0,57104,10631848.04,11168873.06,0,False,True,False,False,False,1
69,345,1526.83,3578126,0.0,0.0,1170063,0.0,0.0,0,False,False,False,True,False,0
70,696,803038.11,3696425,803038.11,0.0,5241,10502128.9,11305167.01,0,False,True,False,False,False,1
71,640,144254.93,4289696,144254.93,0.0,80271,0.0,0.0,0,False,False,False,False,True,1
72,402,18606.36,4321591,0.0,0.0,2507299,0.0,0.0,0,False,False,False,True,False,0
73,311,416490.31,1481499,10388961.84,10805452.15,328903,1484445.86,1067955.54,0,True,False,False,False,False,0
74,378,12650.51,409893,3557.0,0.0,1899607,0.0,0.0,0,False,False,False,True,False,0
75,238,240899.12,4352696,240899.12,0.0,343796,0.0,0.0,0,False,False,False,False,True,1
76,164,65865.55,1748546,437744.0,371878.45,180324,0.0,65865.55,0,False,True,False,False,False,0
77,328,474467.2,727333,474467.2,0.0,335966,0.0,0.0,0,False,False,False,False,True,1
78,168,23536.0,2165859,0.0,0.0,2664230,0.0,0.0,0,False,False,False,True,False,0
79,212,206956.33,4062505,32386.0,0.0,487263,0.0,206956.33,0,False,True,False,False,False,0
80,398,307780.59,1109716,0.0,0.0,20938,329735.72,637516.31,0,False,True,False,False,False,0
81,322,1785.79,672706,50219.0,48433.21,79180,2633690.5,2635476.29,0,False,False,True,False,False,0
82,207,166339.24,4338391,0.0,0.0,297158,2321487.61,2487826.84,0,False,True,False,False,False,0
83,730,10000000.0,2299914,10000000.0,0.0,74942,0.0,10000000.0,0,False,True,False,False,False,1
84,136,24681.76,1463513,0.0,0.0,2425263,0.0,0.0,0,False,False,False,True,False,0
85,132,14079.9,4349347,7980601.67,7994681.57,421334,2141248.43,2127168.53,0,True,False,False,False,False,0
86,294,70173.64,349595,70173.64,0.0,410445,0.0,0.0,0,False,False,False,False,True,1
87,430,3302492.95,3938444,3302492.95,0.0,461782,589810.81,3892303.76,0,False,True,False,False,False,1
88,31,587031.2,1756677,587031.2,0.0,434228,338247.75,925278.94,0,False,True,False,False,False,1
89,46,11559.01,2701503,11343.0,0.0,1725737,0.0,0.0,0,False,False,False,True,False,0
90,379,152531.42,467554,20327.0,0.0,119252,16853.59,169385.01,0,False,True,False,False,False,0
91,456,448266.86,6283538,448266.86,0.0,24154,47028.83,495295.7,0,False,True,False,False,False,1
92,656,110528.53,4075828,110528.53,0.0,557033,0.0,0.0,0,False,False,False,False,True,1
93,280,101297.29,3191941,135285.0,236582.29,239524,2628524.23,2527226.94,0,True,False,False,False,False,0
94,146,7114590.07,3650898,7114590.07,0.0,521998,0.0,0.0,0,False,False,False,False,True,1
95,259,49617.64,4688035,234014.81,184397.17,495734,146428.72,196046.36,0,False,True,False,False,False,0
96,132,137131.29,5939909,4643695.76,4780827.06,316427,1242732.22,1105600.93,0,True,False,False,False,False,0
97,306,51975.67,4860885,0.0,0.0,309538,430583.48,482559.15,0,False,True,False,False,False,0
98,205,105237.81,129399,104517.0,0.0,465687,114924.12,220161.92,0,False,True,False,False,False,0
99,231,282430.86,643441,4531.0,0.0,156837,655659.65,938090.51,0,False,True,False,False,False,0
100,217,108783.2,5222682,108783.2,0.0,230623,89597.75,198380.95,0,False,True,False,False,False,1
101,378,12105.69,1118510,2224.99,0.0,728454,0.0,0.0,0,False,False,False,True,False,0
102,305,70514.52,2182096,285.0,0.0,245911,451382.09,521896.61,0,False,True,False,False,False,0
103,301,82665.47,790841,82665.47,0.0,506209,0.0,0.0,0,False,False,False,False,True,1
104,206,66879.64,442774,497259.0,430379.36,47488,0.0,66879.64,0,False,True,False,False,False,0
105,42,9315.59,3099576,52502.0,43186.41,1616061,0.0,0.0,0,False,False,False,True,False,0
106,640,46973.96,1276935,46973.96,0.0,64810,0.0,46973.96,0,False,True,False,False,False,1
107,162,473518.95,413308,0.0,0.0,110030,1944308.39,2417827.34,0,False,True,False,False,False,0
